"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"California",1,330777,335000,337900,339900,342800,345000,339900,339900,329900,324900,315000,299900,299000,294900,299000,299000,299989,299950,299900,299900,299000,299000,289900,284900,281900,285000,289000,295000,299900,309900,318900,320000,324500,325000,328050,325000,329000,349900,365125,385000,399900,405000,415000,410000,415000,410000,399900,399000,395000,399000,410000,425000,429000,435000,435000,430000,425000,420000,419950,399900,405000,415000,425000,435000,449000,450000,449900,450000,455000,455000,450000,449900,449000,458800,469500,479996,489000,495000,495000,489000,489000,489000,480000,475000,475000,485000,499000,505000,510000,515000,513990,504900,508000,509000,499999,499000,499000,503445,520000,530000,539000,545000,539888,535000,539000,535000,529900,521000,519000,525000,539000,549000,549900,550000,549950,549000,549000,549000
"Texas",2,169900,169900,169900,170000,174000,174900,169990,169900,172999.5,172500,171995,169900,168000,168000,169600,169500,169950,170152.5,170000,169950,168500,168500,166990,166900,165900,169000,169900,170000,174900,175000,174750,174500,172000,171000,173900,174900,174500,179000,182000,185000,189000,189900,189900,189900,189950,193000,189950,190600,192590,198757.5,200651.5,209900,215000,212990,214900,219900,218500,218000,219900,225000,229500,234576,239900,245000,245000,245000,246625,248900,249000,249900,249950,255000,254990,247000,250000,254900,257209,259000,259000,257897,256000,259900,254990,254900,253990,259500,265000,270000,274900,275000,272175,270000,269900,269900,269000,269000,269000,270000,274995,279900,280000,280000,279900,276900,277769,275000,275000,275000,275000,276990,279900,284990,284990,285000,282500,279900,279500,278900
"New York",3,349000,346950,345000,339900,349500,349000,348000,339900,349000,345000,339999,339000,334900,319900,329900,329000,325000,324000,319000,310000,309000,305000,305000,3e+05,3e+05,309000,305000,319000,317400,309900,3e+05,299900,3e+05,308994.5,299990,304900,309000,319000,320000,319000,315000,299900,299000,295000,295000,299000,3e+05,3e+05,310000,324999,325000,325000,329000,330000,325000,322490,322500,325000,325000,325000,330000,334938.5,339000,335000,334900,339000,330000,325000,324000,325000,325000,325000,339900,349000,345000,350000,349000,349900,334000,329900,330000,330000,339900,339900,349900,359999,360900,360000,359000,350000,349900,339900,349000,349000,349900,350000,360000,389000,395000,395000,395000,394500,380000,375000,380000,389000,392000,397500,399900,409000,419900,429000,423997,415000,399900,399000,399900,399900
"Florida",4,199900,199800,199000,194900,190000,188667,184900,180000,179900,176900,179000,174900,174900,174900,175000,170900,175000,175900,175000,176500,179000,179900,178000,178500,178900,179900,179990,179000,178000,179500,179900,180000,179900,175000,179900,180000,187990,189900,195000,199000,199900,199900,199900,199500,199900,199900,205000,2e+05,202990,209000,210000,214900,211990,209900,218000,219000,219900,219000,223900,224900,225000,228000,226900,228650,229990,231800,234900,239900,244000,245000,249900,249999,249979,250000,255000,259900,259900,259900,259900,259000,260000,263990,265000,265900,271900,275000,275000,279500,279950,280050,280990,279990,284900,280000,284990,285000,287500,289000,289900,290000,294490,294999,293000,289990,290000,289990,293000,295000,294900,295000,295000,299000,299000,299000,299000,298000,295990,294900
"Illinois",5,214900,214900,215000,214900,213275,210000,2e+05,199900,196000,195000,190000,184900,179900,179000,179900,180000,184000,182900,179900,177700,174900,169900,165000,160000,159900,160000,163900,164900,164900,165000,159900,159900,158900,155000,154900,149900,149900,154900,159900,165000,169900,173500,169900,169900,169500,165000,164900,159900,159880.5,165000,174900,180000,189900,190000,189900,189000,185000,184000,179900,175000,174900,179900,189900,195000,202000,204500,199900,199000,195900,194900,189900,185000,185000,192000,202900,214000,215000,215000,210000,204900,2e+05,199900,199000,190000,190000,199900,214900,220000,225000,227000,224900,219900,219900,218500,214999,208000,209900,219900,229000,235000,236900,237800,234900,230000,230000,229900,229000,225000,225000,230000,239900,249000,248900,246900,241900,239000,236000,234000
"Pennsylvania",6,189900,189900,189900,189900,189900,189900,189900,185500,185000,184900,182000,179900,179900,179850,179900,179900,182499.5,184500,179999,179900,179000,175000,174949,174500,174900,174900,177500,179000,175990,175000,174900,169900,169500,168000,166900,164900,164900,169440,169900,174900,179900,179900,177500,173500,174900,169900,169900,174900,169900,169900,174900,179900,184900,184900,179900,179000,179000,179900,179000,174900,174900,174900,179900,184900,189000,187000,184900,179900,184109.5,179900,179000,174900,170000,170000,179900,183500,185000,189900,184900,179900,180000,185000,179900,178500,177500,179900,191356,199500,199500,199000,198000,195000,194000,195000,195000,189900,189900,197000,199900,209900,214900,218000,214900,209900,205900,205000,204900,199900,199900,202900,214900,219900,224900,224999,223995,215653,216226,214999
"Ohio",7,129900,129900,129900,134000,131000,129900,129900,129900,129900,129000,126900,122000,119900,119900,120000,124500,125000,128500,127000,125900,125000,124900,124900,119900,119900,120000,124000,124900,125900,126900,125000,124900,123500,120000,120000,119900,118900,119900,120000,124900,128900,129777,129000,126900,125000,125000,124900,122000,120900,124900,129500,130000,134900,137900,136000,134900,134875,132900,129900,129000,129500,129999,134900,139000,139900,139900,139900,139900,139500,135000,134900,130000,131425,133900,136000,142000,145899,148000,148500,144900,144900,142900,139900,139000,139000,139900,148000,150000,158000,159900,159900,159900,157000,157000,152000,149900,149900,152000,159900,165000,169900,172400,171500,169900,169500,165950,164900,160000,164900,165125,174900,179900,179908.5,180000,179900,179000,176900,174900
"Michigan",8,128900,128000,127000,127900,127000,124900,123000,120000,119900,119900,118000,110000,109000,108500,107947.5,109000,114900,115000,114900,114900,114900,110000,109900,101900,1e+05,99900,105000,109000,110000,114000,114900,112750,110000,109900,109900,106875,109000,109900,114900,119900,125000,129900,129900,129900,129900,128000,124900,122000,119900,121700,127000,134900,139900,139999,139900,139900,139900,138000,132900,129900,129900,129900,135000,139950,146950,149900,149900,149000,145470,142900,139900,139000,136900,138900,144000,149900,154500,155900,158963,155500,154900,154000,149900,149900,149900,152000,159900,165000,169900,174900,174900,171471,169900,169900,169000,164900,164900,167900,170000,183500,184900,185000,185900,184900,184000,179900,179900,175000,174900,175000,179900,189000,194500,195000,194900,189900,189000,183000
"Georgia",9,179500,179000,179000,179500,177900,174900,172500,170000,169900,169000,165000,159900,158839,155000,155000,153900,154990,155000,154900,151925,150000,149900,149000,145000,144900,147900,149810,149900,150000,150000,154000,155000,154900,157500,159900,159900,159990,164990,168900,172000,175000,177900,178500,175990,178000,176100,175000,174750,172900,175000,179900,185000,189000,190000,190000,189900,187000,185000,185500,183500,184500,185900,189000,190000,195000,197000,198000,199500,199500,199000,199000,199000,199000,199000,2e+05,210000,215000,219000,219000,215000,215000,217900,215000,214900,215000,218995,225000,230000,235000,237850,238400,236490,239000,239785,239900,239900,240000,245000,249900,254044,258499.5,259000,254900,250000,251990,250000,250000,249900,249900,254000,259900,264900,265000,264500,260000,259900,260000,259900
"North Carolina",10,199900,199900,199900,199900,199900,199000,198000,194900,192900,194900,194900,189900,187000,185000,187900,189000,189900,189900,189500,189000,187500,186000,185000,182500,180300,182500,185000,185000,184900,184500,181350,181900,179900,179900,179900,179900,179900,184900,187990,189900,194900,199000,195900,195000,195600,195000,192676.5,194900,189900,190090,198000,199500,199990,199900,199900,199900,199900,199500,199900,199000,199000,199900,199900,209000,215000,218900,218500,218000,216500,219000,218500,215000,219900,220000,224900,228500,229700,229900,229900,229900,229900,230000,229900,229900,229000,230000,237900,245900,249900,250000,250000,249900,250000,251900,254000,253970,255000,255987.5,259900,260000,260000,263945,260000,259900,262500,262000,262500,264000,263500,264900,269900,274900,275000,275000,274900,274000,274900,274900
